text,true,pred
covered earlier and much better,0,1
what does n't this film have that an impressionable kid could n't stand to hear ?,1,0
the campy results make mel brooks ' borscht belt schtick look sophisticated .,1,0
than indecent proposal,1,0
"the mystery of enigma is how a rich historical subject , combined with so much first-rate talent ... could have yielded such a flat , plodding picture .",0,1
that flow through the hollywood pipeline without a hitch,1,0
is too bad that this likable movie is n't more accomplished .,1,0
joyless,0,1
ready-made midnight movie,1,0
"a third-person story now , told by hollywood , and much more ordinary for it",0,1
", nickelodeon-esque kiddie flick",1,0
offers no new insight,0,1
"who needs mind-bending drugs when they can see this , the final part of the ` qatsi ' trilogy , directed by godfrey reggio , with music by philip glass ?",1,0
pale successor,0,1
still want my money back .,0,1
for nearly three hours,1,0
"amy and matthew have a bit of a phony relationship , but",0,1
classy,1,0
wo n't have any trouble getting kids to eat up these veggies,1,0
a movie with depth,1,0
